year,r20mm
1991,0.59
1992,0.03
1993,1.81
1994,0.73
1995,1.17
1996,1.02
1997,0.76
1998,1.68
1999,0.22
2000,1.0
2001,1.01
2002,0.91
2003,1.27
2004,1.92
2005,1.04
2006,1.09
2007,0.89
2008,2.34
2009,1.74
2010,1.85
2011,0.55
2012,1.67
2013,0.78
2014,1.47
2015,0.45
2016,2.81
2017,1.45
2018,0.94
2019,1.35
2020,1.13
