year,id0
1991,34.84
1992,34.91
1993,57.5
1994,59.13
1995,50.96
1996,71.23
1997,57.18
1998,55.74
1999,56.54
2000,33.4
2001,64.47
2002,51.61
2003,51.8
2004,58.28
2005,67.4
2006,60.55
2007,37.07
2008,26.2
2009,50.47
2010,82.84
2011,44.83
2012,62.76
2013,58.14
2014,38.67
2015,22.54
2016,43.49
2017,28.7
2018,61.27
2019,34.33
2020,11.53
