year,cdd
1991,11.02
1992,17.46
1993,17.56
1994,15.44
1995,11.37
1996,15.13
1997,15.2
1998,16.66
1999,16.37
2000,18.11
2001,11.13
2002,25.35
2003,17.6
2004,11.05
2005,15.71
2006,18.45
2007,12.56
2008,14.83
2009,14.19
2010,14.51
2011,16.44
2012,10.24
2013,19.29
2014,14.37
2015,18.26
2016,16.39
2017,11.47
2018,14.11
2019,14.68
2020,10.69
