year,frost_days
1991,94.17
1992,111.12
1993,123.35
1994,111.6
1995,110.58
1996,113.43
1997,124.72
1998,110.03
1999,107.32
2000,83.17
2001,114.48
2002,120.34
2003,111.52
2004,109.11
2005,113.17
2006,97.43
2007,88.81
2008,79.93
2009,107.08
2010,112.61
2011,89.24
2012,109.44
2013,98.47
2014,94.17
2015,75.76
2016,103.33
2017,109.84
2018,103.47
2019,87.24
2020,64.12
