year,txx
1991,25.83
1992,30.82
1993,24.71
1994,31.02
1995,28.16
1996,26.02
1997,27.69
1998,28.49
1999,29.56
2000,26.21
2001,29.9
2002,29.02
2003,28.58
2004,25.77
2005,27.68
2006,31.03
2007,28.55
2008,27.56
2009,26.23
2010,32.24
2011,29.13
2012,29.29
2013,28.86
2014,29.26
2015,27.95
2016,28.34
2017,27.13
2018,29.8
2019,28.7
2020,28.62
