year,hard_frost_days
1991,11.72
1992,7.41
1993,17.2
1994,28.92
1995,16.35
1996,38.99
1997,20.19
1998,29.79
1999,18.16
2000,9.68
2001,27.76
2002,23.89
2003,22.03
2004,23.53
2005,29.15
2006,31.3
2007,21.98
2008,2.79
2009,20.04
2010,50.33
2011,20.31
2012,31.53
2013,32.0
2014,16.15
2015,4.03
2016,18.98
2017,7.39
2018,17.08
2019,10.12
2020,0.36
