year,tnn
1991,-19.35
1992,-15.17
1993,-16.81
1994,-26.95
1995,-19.81
1996,-26.85
1997,-21.23
1998,-22.3
1999,-24.7
2000,-18.66
2001,-23.42
2002,-23.33
2003,-27.16
2004,-19.69
2005,-21.08
2006,-28.67
2007,-25.13
2008,-12.4
2009,-22.96
2010,-24.61
2011,-24.48
2012,-30.49
2013,-22.17
2014,-19.43
2015,-15.58
2016,-24.56
2017,-17.53
2018,-21.78
2019,-17.5
2020,-9.16
