year,extreme_heat_days
1991,0.0
1992,0.62
1993,0.0
1994,2.38
1995,0.0
1996,0.0
1997,0.0
1998,0.08
1999,0.31
2000,0.0
2001,0.49
2002,0.1
2003,0.03
2004,0.0
2005,0.0
2006,1.8
2007,0.03
2008,0.05
2009,0.0
2010,4.51
2011,0.01
2012,0.27
2013,0.04
2014,0.19
2015,0.03
2016,0.04
2017,0.0
2018,0.61
2019,0.02
2020,0.0
