year,prcptot
1991,545.45
1992,455.07
1993,538.37
1994,521.56
1995,537.45
1996,436.0
1997,521.85
1998,603.1
1999,468.59
2000,535.78
2001,566.85
2002,428.07
2003,523.47
2004,564.28
2005,456.84
2006,408.81
2007,540.93
2008,664.82
2009,589.67
2010,587.87
2011,507.52
2012,665.32
2013,458.31
2014,517.53
2015,492.29
2016,590.93
2017,601.01
2018,396.92
2019,554.73
2020,560.28
