year,tr15
1991,13.26
1992,14.1
1993,3.58
1994,16.64
1995,16.68
1996,8.77
1997,28.85
1998,6.07
1999,23.03
2000,6.43
2001,23.43
2002,25.79
2003,20.16
2004,14.07
2005,13.01
2006,23.52
2007,23.76
2008,8.45
2009,8.01
2010,35.11
2011,32.06
2012,13.05
2013,25.39
2014,28.47
2015,9.07
2016,21.89
2017,10.05
2018,30.66
2019,19.09
2020,19.02
