year,sdii
1991,4.54
1992,4.1
1993,4.87
1994,4.59
1995,4.6
1996,4.34
1997,4.36
1998,4.81
1999,4.33
2000,4.49
2001,4.75
2002,4.4
2003,4.65
2004,4.74
2005,4.73
2006,4.24
2007,4.51
2008,4.89
2009,4.88
2010,4.71
2011,4.24
2012,4.87
2013,4.05
2014,4.81
2015,4.41
2016,5.07
2017,4.78
2018,4.07
2019,4.47
2020,4.53
