year,sdii
2021,5.15
2022,5.14
2023,5.77
2024,5.05
2025,5.03
2026,4.91
2027,5.29
2028,5.2
2029,4.83
2030,4.97
2031,4.84
2032,5.01
2033,4.87
2034,5.15
2035,5.26
2036,5.84
2037,5.31
2038,6.22
2039,5.16
2040,5.39
2041,5.37
2042,5.07
2043,4.46
2044,4.48
2045,5.08
2046,5.46
2047,4.61
2048,5.39
2049,5.63
2050,5.67
2051,5.48
2052,5.01
2053,5.63
2054,5.64
2055,6.17
2056,5.85
2057,5.25
2058,4.88
2059,5.31
2060,5.69
2061,5.1
2062,4.69
2063,5.35
2064,5.14
2065,5.29
2066,5.47
2067,4.9
2068,4.85
2069,5.15
2070,5.13
2071,5.82
2072,4.89
2073,4.97
2074,5.19
2075,4.63
2076,5.22
2077,4.86
2078,4.62
2079,5.18
2080,5.13
2081,5.22
2082,5.07
2083,5.24
2084,5.39
2085,5.54
2086,5.49
2087,5.17
2088,5.0
2089,5.4
2090,4.83
2091,4.58
2092,5.24
2093,5.02
2094,5.05
2095,4.7
2096,5.16
2097,5.04
2098,6.05
2099,5.45
2100,5.23
