year,txx
2021,29.13
2022,30.16
2023,28.81
2024,24.94
2025,26.25
2026,30.64
2027,27.95
2028,29.62
2029,26.74
2030,28.69
2031,29.67
2032,27.3
2033,29.65
2034,28.52
2035,26.11
2036,30.06
2037,26.31
2038,28.82
2039,30.15
2040,27.69
2041,29.34
2042,29.51
2043,28.42
2044,29.84
2045,26.08
2046,28.26
2047,28.3
2048,30.9
2049,27.13
2050,29.58
2051,29.74
2052,30.06
2053,27.75
2054,25.39
2055,26.64
2056,27.65
2057,28.8
2058,28.05
2059,30.04
2060,29.98
2061,30.0
2062,32.64
2063,27.95
2064,29.66
2065,26.8
2066,28.13
2067,30.88
2068,28.93
2069,26.3
2070,27.61
2071,27.93
2072,30.9
2073,28.14
2074,28.73
2075,25.58
2076,30.31
2077,28.6
2078,31.77
2079,29.47
2080,29.83
2081,27.39
2082,28.25
2083,28.16
2084,29.67
2085,30.97
2086,30.38
2087,27.64
2088,26.93
2089,29.38
2090,27.8
2091,28.44
2092,32.11
2093,28.58
2094,28.25
2095,29.92
2096,28.27
2097,32.21
2098,27.62
2099,28.69
2100,30.37
