year,id0
2021,82.44
2022,24.55
2023,10.55
2024,34.88
2025,43.41
2026,61.8
2027,61.48
2028,44.89
2029,30.96
2030,22.15
2031,13.07
2032,47.46
2033,40.99
2034,23.76
2035,34.99
2036,54.03
2037,34.96
2038,29.54
2039,17.8
2040,47.19
2041,41.17
2042,36.24
2043,30.99
2044,66.71
2045,46.87
2046,51.69
2047,49.23
2048,53.45
2049,60.8
2050,21.62
2051,38.01
2052,49.1
2053,30.45
2054,25.34
2055,69.49
2056,29.5
2057,51.35
2058,44.66
2059,35.78
2060,46.71
2061,39.73
2062,39.13
2063,15.64
2064,33.28
2065,11.51
2066,20.77
2067,44.44
2068,50.44
2069,50.6
2070,81.31
2071,33.72
2072,36.51
2073,42.99
2074,32.63
2075,30.51
2076,61.29
2077,36.25
2078,22.08
2079,39.98
2080,44.45
2081,55.51
2082,18.33
2083,30.91
2084,41.7
2085,43.21
2086,63.93
2087,66.01
2088,28.47
2089,32.62
2090,22.39
2091,22.1
2092,26.74
2093,38.78
2094,55.73
2095,38.69
2096,33.68
2097,16.45
2098,29.43
2099,18.37
2100,29.97
