year,tnn
2021,-23.85
2022,-23.33
2023,-20.41
2024,-22.15
2025,-21.22
2026,-13.85
2027,-21.43
2028,-9.5
2029,-13.6
2030,-8.74
2031,-21.21
2032,-20.65
2033,-18.3
2034,-18.83
2035,-14.05
2036,-11.38
2037,-17.91
2038,-24.3
2039,-13.44
2040,-8.75
2041,-18.96
2042,-23.96
2043,-12.95
2044,-12.96
2045,-18.87
2046,-22.99
2047,-18.53
2048,-11.55
2049,-20.88
2050,-24.32
2051,-20.82
2052,-20.33
2053,-20.89
2054,-9.81
2055,-17.01
2056,-19.99
2057,-16.19
2058,-19.1
2059,-16.26
2060,-15.89
2061,-17.35
2062,-12.87
2063,-16.39
2064,-15.79
2065,-19.37
2066,-15.38
2067,-12.65
2068,-17.19
2069,-18.29
2070,-14.12
2071,-14.74
2072,-8.85
2073,-14.59
2074,-10.35
2075,-4.7
2076,-14.62
2077,-7.07
2078,-5.8
2079,-8.25
2080,-9.55
2081,-14.79
2082,-11.74
2083,-7.31
2084,-17.15
2085,-4.2
2086,-9.23
2087,-6.09
2088,-7.67
2089,-13.0
2090,-16.62
2091,-6.59
2092,-14.31
2093,-16.51
2094,-6.74
2095,-4.23
2096,-7.47
2097,-15.85
2098,-3.01
2099,-5.92
2100,-5.84
