year,tr15
2021,3.25
2022,3.88
2023,14.77
2024,0.96
2025,12.39
2026,16.04
2027,11.43
2028,6.36
2029,13.57
2030,0.76
2031,7.9
2032,2.9
2033,16.28
2034,12.15
2035,9.64
2036,2.13
2037,10.68
2038,10.07
2039,20.89
2040,12.34
2041,20.36
2042,11.5
2043,15.19
2044,1.75
2045,11.19
2046,3.49
2047,17.42
2048,17.59
2049,11.99
2050,6.63
2051,13.9
2052,2.84
2053,7.08
2054,12.06
2055,10.58
2056,13.79
2057,7.61
2058,19.06
2059,14.18
2060,9.67
2061,9.73
2062,16.05
2063,7.59
2064,28.41
2065,7.01
2066,14.84
2067,8.0
2068,22.61
2069,18.92
2070,18.61
2071,19.18
2072,15.93
2073,21.15
2074,12.62
2075,21.53
2076,22.67
2077,26.66
2078,23.61
2079,11.94
2080,10.02
2081,18.66
2082,19.5
2083,29.68
2084,20.78
2085,17.83
2086,16.83
2087,23.62
2088,15.72
2089,19.38
2090,14.31
2091,10.89
2092,42.85
2093,11.5
2094,18.09
2095,23.11
2096,23.14
2097,28.57
2098,17.72
2099,17.92
2100,12.44
